Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2015 Cap,year
125  ,BAL , Javorius Allen ,RB,23,Southern California,4,"$2,754,471","$474,471","$553,618",2015
126  ,SF  from DEN, Mike Davis ,RB,22,South Carolina,4,"$2,748,781","$468,781","$552,195",2015
127  ,DAL , Damien Wilson ,OLB,21,Minnesota,4,"$2,746,315","$466,315","$551,578",2015
128  ,OAK  from IND via TB, Jon Feliciano ,G,23,Miami (FL),4,"$2,740,652","$460,652","$550,163",2015
129  ,GB , Jake Ryan ,ILB,23,Michigan,4,"$2,736,678","$456,678","$549,169",2015
130  ,SEA , Terry Poole ,G,23,San Diego State,4,"$2,730,251","$450,251","$547,562",2015
131  ,NE , Shaq Mason ,G,21,Georgia Tech,4,"$2,723,525","$443,525","$545,881",2015
132 (C) ,SF , DeAndre Smelter ,WR,23,Georgia Tech,4,"$2,625,692","$345,692","$480,128",2015
133 (C) ,DEN , Max Garcia ,G,23,Florida,4,"$2,625,692","$345,692","$521,423",2015
134 (C) ,SEA , Mark Glowinski ,G,22,West Virginia,4,"$2,625,692","$345,692","$521,423",2015
135 (C) ,CIN , Marcus Hardison ,DT,23,Arizona State,4,"$2,625,692","$345,692","$521,423",2015
136 (C) ,BAL , Tray Walker ,CB,22,Texas Southern,4,"$2,625,692","$345,692","$521,423",2015
137  ,ATL  from TB via BUF via MIN, Grady Jarrett ,DT,22,Clemson,4,"$2,527,853","$247,853","$496,963",2015
138  ,TEN , David Cobb ,RB,21,Minnesota,4,"$2,525,668","$245,668","$496,417",2015
139  ,JAC , Rashad Greene ,WR,22,Florida State,4,"$2,523,814","$243,814","$440,894",2015
140  ,OAK , Ben Heeney ,ILB,22,Kansas,4,"$2,522,724","$242,724","$495,681",2015
141  ,WAS , Martrell Spaight ,ILB,21,Arkansas,4,"$2,517,949","$237,949","$391,251",2015
142  ,CHI  from NYJ, Adrian Amos ,FS,22,Penn State,4,"$2,512,280","$232,280","$493,070",2015
