rank,team,name,salary,year
,,"
Keita Bates-Diop
Small Forward
","$838,464  ",2018
,,"
Bruce Brown
Shooting Guard
","$838,464  ",2018
,,"
Khyri Thomas
Shooting Guard
","$838,464  ",2018
,,"
Kenrich Williams
Small Forward
","$838,464  ",2018
,,"
Isaiah Hartenstein
Power Forward
","$838,464  ",2018
,,"
Hamidou Diallo
Shooting Guard
","$838,464  ",2018
,,"
Alize Johnson
Power Forward
","$838,464  ",2018
,,"
Brad Wanamaker
Point Guard
","$838,464  ",2018
404,,"
Patrick McCaw
Shooting Guard
","$786,211  ",2018
405,,"
Kenneth Faried
Power Forward
","$683,661  ",2018
406,,"
Gary Clark
Small Forward
","$596,872  ",2018
407,,"
Bruno Caboclo
Small Forward
","$522,150  ",2018
408,,"
Salah Mejri
Center
","$512,746  ",2018
,,"
Wesley Matthews
Shooting Guard
","$512,746  ",2018
410,,"
Nik Stauskas
Shooting Guard
","$504,200  ",2018
411,,"
Enes Kanter
Center
","$487,109  ",2018
,,"
Jeremy Lin
Point Guard
","$487,109  ",2018
413,,"
John Jenkins
Shooting Guard
","$486,520  ",2018
414,,"
Chris Boucher
Power Forward
","$457,418  ",2018
,,"
Malcolm Miller
Small Forward
","$457,418  ",2018
416,,"
Edmond Sumner
Point Guard
","$449,794  ",2018
417,,"
Markieff Morris
Power Forward
","$427,289  ",2018
418,,"
Henry Ellenson
Power Forward
","$341,831  ",2018
419,,"
Pau Gasol
Center
","$333,285  ",2018
420,,"
Andrew Bogut
Center
","$307,648  ",2018
421,,"
Danuel House
Small Forward
","$247,827  ",2018
422,,"
Jaylen Adams
Point Guard
","$236,854  ",2018
423,,"
Tim Frazier
Point Guard
","$196,553  ",2018
424,,"
Dairis Bertans
Shooting Guard
","$194,220  ",2018
425,,"
Ray Spalding
Power Forward
","$184,746  ",2018
426,,"
Jimmer Fredette
Point Guard
","$170,915  ",2018
427,,"
Deonte Burton
Small Forward
","$151,587  ",2018
428,,"
Jodie Meeks
Shooting Guard
","$136,732  ",2018
429,,"
Cam Reynolds
Forward
","$108,953  ",2018
